Sentence:1,Вице-премьер,NOUN,O
Sentence:1,по,PREP,O
Sentence:1,социальным,ADJF,O
Sentence:1,вопросам,NOUN,O
Sentence:1,Татьяна Голикова,NOUN,PER
Sentence:1,рассказала,VERB,O
Sentence:1,в,PREP,O
Sentence:1,каких,ADJF,O
Sentence:1,регионах,NOUN,O
Sentence:1,России,NOUN,LOC
Sentence:1,зафиксирована,PRTS,O
Sentence:1,наиболее,ADVB,O
Sentence:1,высокая,ADJF,O
Sentence:1,смертность,NOUN,O
Sentence:1,от,PREP,O
Sentence:1,рака,NOUN,O
Sentence:1,сообщает,VERB,O
Sentence:1,РИА Новости,NOUN,ORG
Sentence:1,По,PREP,O
Sentence:1,словам,NOUN,O
Sentence:1,Голиковой,NOUN,PER
Sentence:1,чаще,NOUN,O
Sentence:1,всего,ADVB,O
Sentence:1,онкологические,ADJF,O
Sentence:1,заболевания,NOUN,O
Sentence:1,становились,VERB,O
Sentence:1,причиной,NOUN,O
Sentence:1,смерти,NOUN,O
Sentence:1,в,PREP,O
Sentence:1,Псковской,ADJF,LOC
Sentence:1,Тверской,NOUN,LOC
Sentence:1,Тульской,ADJF,LOC
Sentence:1,и,CONJ,O
Sentence:1,Орловской областях,NOUN,LOC
Sentence:1,а,CONJ,O
Sentence:1,также,CONJ,O
Sentence:1,в,PREP,O
Sentence:1,Севастополе,NOUN,LOC
Sentence:1,Вице-премьер,NOUN,O
Sentence:1,напомнила,VERB,O
Sentence:1,что,CONJ,O
Sentence:1,главные,NOUN,O
Sentence:1,факторы,NOUN,O
Sentence:1,смертности,NOUN,O
Sentence:1,в,PREP,O
Sentence:1,России,NOUN,LOC
Sentence:1,рак,NOUN,O
Sentence:1,и,CONJ,O
Sentence:1,болезни,NOUN,O
Sentence:1,системы,NOUN,O
Sentence:1,кровообращения,NOUN,O
Sentence:1,В,PREP,O
Sentence:1,начале,NOUN,O
Sentence:1,года,NOUN,O
Sentence:1,стало,VERB,O
Sentence:1,известно,PRED,O
Sentence:1,что,CONJ,O
Sentence:1,смертность,NOUN,O
Sentence:1,от,PREP,O
Sentence:1,онкологических,ADJF,O
Sentence:1,заболеваний,NOUN,O
Sentence:1,среди,PREP,O
Sentence:1,россиян,NOUN,O
Sentence:1,снизилась,VERB,O
Sentence:1,впервые,ADVB,O
Sentence:1,за,PREP,O
Sentence:1,три,NUMR,O
Sentence:1,года,NOUN,O
Sentence:1,По,PREP,O
Sentence:1,данным,NOUN,O
Sentence:1,Росстата,NOUN,ORG
Sentence:1,в,PREP,O
Sentence:1,году,NOUN,O
Sentence:1,от,PREP,O
Sentence:1,рака,NOUN,O
Sentence:1,умерли,VERB,O
Sentence:1,тысяч,NOUN,O
Sentence:1,человек,NOUN,O
Sentence:1,Это,PRCL,O
Sentence:1,на,PREP,O
Sentence:1,процента,NOUN,O
Sentence:1,меньше,COMP,O
Sentence:1,чем,CONJ,O
Sentence:1,годом,NOUN,O
Sentence:1,ранее,ADVB,O
Sentence:2,Австрийские,ADJF,O
Sentence:2,правоохранительные,ADJF,O
Sentence:2,органы,NOUN,O
Sentence:2,не,PRCL,O
Sentence:2,представили,VERB,O
Sentence:2,доказательств,NOUN,O
Sentence:2,нарушения,NOUN,O
Sentence:2,российскими,ADJF,O
Sentence:2,биатлонистами,NOUN,O
Sentence:2,антидопинговых,ADJF,O
Sentence:2,правил,NOUN,O
Sentence:2,Об,PREP,O
Sentence:2,этом,NPRO,O
Sentence:2,сообщил,VERB,O
Sentence:2,посол,NOUN,O
Sentence:2,России,NOUN,LOC
Sentence:2,в,PREP,O
Sentence:2,Вене,NOUN,LOC
